"day","daily_beta"
1,0.295699
2,0.295699
3,0.295699
4,0.295699
5,0.295699
6,0.295699
7,0.295699
8,0.295699
9,0.295699
10,0.295699
11,0.295699
12,0.295699
13,0.295699
14,0.295699
15,0.236996
16,0.236996
17,0.236996
18,0.236996
19,0.236996
20,0.236996
21,0.236996
22,0.13493
23,0.13493
24,0.13493
25,0.13493
26,0.13493
27,0.13493
28,0.13493
29,0.21661
30,0.21661
31,0.21661
32,0.21661
33,0.21661
34,0.21661
35,0.21661
36,0.184288
37,0.184288
38,0.184288
39,0.184288
40,0.184288
41,0.184288
42,0.184288
43,0.147312
44,0.147312
45,0.147312
46,0.147312
47,0.147312
48,0.147312
49,0.147312
50,0.133366
51,0.133366
52,0.133366
53,0.133366
54,0.133366
55,0.133366
56,0.133366
57,0.128469
58,0.128469
59,0.128469
60,0.128469
61,0.128469
62,0.128469
63,0.128469
64,0.121552
65,0.121552
66,0.121552
67,0.121552
68,0.121552
69,0.121552
70,0.121552
71,0.116988
72,0.116988
73,0.116988
74,0.116988
75,0.116988
76,0.116988
77,0.116988
78,0.132186
79,0.132186
80,0.132186
81,0.132186
82,0.132186
83,0.132186
84,0.132186
85,0.110185
86,0.110185
87,0.110185
88,0.110185
89,0.110185
90,0.110185
91,0.110185
92,0.11306
93,0.11306
94,0.11306
95,0.11306
96,0.11306
97,0.11306
98,0.11306
99,0.103392
100,0.103392
101,0.103392
102,0.103392
103,0.103392
104,0.103392
105,0.103392
106,0.119368
107,0.119368
108,0.119368
109,0.119368
110,0.119368
111,0.119368
112,0.119368
113,0.109078
114,0.109078
115,0.109078
116,0.109078
117,0.109078
118,0.109078
119,0.109078
120,0.115196
121,0.115196
122,0.115196
123,0.115196
124,0.115196
125,0.115196
126,0.115196
127,0.13498
128,0.13498
129,0.13498
130,0.13498
131,0.13498
132,0.13498
133,0.13498
134,0.106416
135,0.106416
136,0.106416
137,0.106416
138,0.106416
139,0.106416
140,0.106416
141,0.101539
142,0.101539
143,0.101539
144,0.101539
145,0.101539
146,0.101539
147,0.101539
148,0.110976
149,0.110976
150,0.110976
151,0.110976
152,0.110976
153,0.110976
154,0.110976
155,0.0922052
156,0.0922052
157,0.0922052
158,0.0922052
159,0.0922052
160,0.0922052
161,0.0922052
162,0.117172
163,0.117172
164,0.117172
165,0.117172
166,0.117172
167,0.117172
168,0.117172
169,0.0909071
170,0.0909071
171,0.0909071
172,0.0909071
173,0.0909071
174,0.0909071
175,0.0909071
176,0.128667
177,0.128667
178,0.128667
179,0.128667
180,0.128667
181,0.128667
182,0.128667
183,0.0967901
184,0.0967901
185,0.0967901
186,0.0967901
187,0.0967901
188,0.0967901
189,0.0967901
190,0.154346
191,0.154346
192,0.154346
193,0.154346
194,0.154346
195,0.154346
196,0.154346
197,0.144938
198,0.144938
199,0.144938
200,0.144938
201,0.144938
202,0.144938
203,0.144938
204,0.139686
205,0.139686
206,0.139686
207,0.139686
208,0.139686
209,0.139686
210,0.139686
211,0.128155
212,0.128155
213,0.128155
214,0.128155
215,0.128155
216,0.128155
217,0.128155
218,0.0984215
219,0.0984215
220,0.0984215
221,0.0984215
222,0.0984215
223,0.0984215
224,0.0984215
225,0.137761
226,0.137761
227,0.137761
228,0.137761
229,0.137761
230,0.137761
231,0.137761
232,0.136108
233,0.136108
234,0.136108
235,0.136108
236,0.136108
237,0.136108
238,0.136108
239,0.132235
240,0.132235
241,0.132235
242,0.132235
243,0.132235
244,0.132235
245,0.132235
246,0.142502
247,0.142502
248,0.142502
249,0.142502
250,0.142502
251,0.142502
252,0.142502
253,0.155483
254,0.155483
255,0.155483
256,0.155483
257,0.155483
258,0.155483
259,0.155483
260,0.124608
261,0.124608
262,0.124608
263,0.124608
264,0.124608
265,0.124608
266,0.124608
267,0.113873
268,0.113873
269,0.113873
270,0.113873
271,0.113873
272,0.113873
273,0.113873
274,0.112577
275,0.112577
276,0.112577
277,0.112577
278,0.112577
279,0.112577
280,0.112577
281,0.11399
282,0.11399
283,0.11399
284,0.11399
285,0.11399
286,0.11399
287,0.11399
288,0.118886
289,0.118886
290,0.118886
291,0.118886
292,0.118886
293,0.118886
294,0.118886
295,0.102073
296,0.102073
