"day","daily_beta"
1,0.354839
2,0.354839
3,0.354839
4,0.354839
5,0.354839
6,0.354839
7,0.354839
8,0.354839
9,0.354839
10,0.354839
11,0.354839
12,0.354839
13,0.354839
14,0.354839
15,0.315573
16,0.315573
17,0.315573
18,0.315573
19,0.315573
20,0.315573
21,0.315573
22,0.290762
23,0.290762
24,0.290762
25,0.290762
26,0.290762
27,0.290762
28,0.290762
29,0.199375
30,0.199375
31,0.199375
32,0.199375
33,0.199375
34,0.199375
35,0.199375
36,0.142679
37,0.142679
38,0.142679
39,0.142679
40,0.142679
41,0.142679
42,0.142679
43,0.134374
44,0.134374
45,0.134374
46,0.134374
47,0.134374
48,0.134374
49,0.134374
50,0.127736
51,0.127736
52,0.127736
53,0.127736
54,0.127736
55,0.127736
56,0.127736
57,0.110367
58,0.110367
59,0.110367
60,0.110367
61,0.110367
62,0.110367
63,0.110367
64,0.126716
65,0.126716
66,0.126716
67,0.126716
68,0.126716
69,0.126716
70,0.126716
71,0.129962
72,0.129962
73,0.129962
74,0.129962
75,0.129962
76,0.129962
77,0.129962
78,0.120874
79,0.120874
80,0.120874
81,0.120874
82,0.120874
83,0.120874
84,0.120874
85,0.121646
86,0.121646
87,0.121646
88,0.121646
89,0.121646
90,0.121646
91,0.121646
92,0.129802
93,0.129802
94,0.129802
95,0.129802
96,0.129802
97,0.129802
98,0.129802
99,0.154091
100,0.154091
101,0.154091
102,0.154091
103,0.154091
104,0.154091
105,0.154091
106,0.140549
107,0.140549
108,0.140549
109,0.140549
110,0.140549
111,0.140549
112,0.140549
113,0.144584
114,0.144584
115,0.144584
116,0.144584
117,0.144584
118,0.144584
119,0.144584
120,0.137832
121,0.137832
122,0.137832
123,0.137832
124,0.137832
125,0.137832
126,0.137832
127,0.124145
128,0.124145
129,0.124145
130,0.124145
131,0.124145
132,0.124145
133,0.124145
134,0.113988
135,0.113988
136,0.113988
137,0.113988
138,0.113988
139,0.113988
140,0.113988
141,0.110879
142,0.110879
143,0.110879
144,0.110879
145,0.110879
146,0.110879
147,0.110879
148,0.100416
149,0.100416
150,0.100416
151,0.100416
152,0.100416
153,0.100416
154,0.100416
155,0.114675
156,0.114675
157,0.114675
158,0.114675
159,0.114675
160,0.114675
161,0.114675
162,0.109503
163,0.109503
164,0.109503
165,0.109503
166,0.109503
167,0.109503
168,0.109503
169,0.103649
170,0.103649
171,0.103649
172,0.103649
173,0.103649
174,0.103649
175,0.103649
176,0.103654
177,0.103654
178,0.103654
179,0.103654
180,0.103654
181,0.103654
182,0.103654
183,0.108225
184,0.108225
185,0.108225
186,0.108225
187,0.108225
188,0.108225
189,0.108225
190,0.134511
191,0.134511
192,0.134511
193,0.134511
194,0.134511
195,0.134511
196,0.134511
197,0.123589
198,0.123589
199,0.123589
200,0.123589
201,0.123589
202,0.123589
203,0.123589
204,0.140676
205,0.140676
206,0.140676
207,0.140676
208,0.140676
209,0.140676
210,0.140676
211,0.100205
212,0.100205
213,0.100205
214,0.100205
215,0.100205
216,0.100205
217,0.100205
218,0.0959043
219,0.0959043
220,0.0959043
221,0.0959043
222,0.0959043
223,0.0959043
224,0.0959043
225,0.113011
226,0.113011
227,0.113011
228,0.113011
229,0.113011
230,0.113011
231,0.113011
232,0.117416
233,0.117416
234,0.117416
235,0.117416
236,0.117416
237,0.117416
238,0.117416
239,0.140547
240,0.140547
241,0.140547
242,0.140547
243,0.140547
244,0.140547
245,0.140547
246,0.145196
247,0.145196
248,0.145196
249,0.145196
250,0.145196
251,0.145196
252,0.145196
253,0.14229
254,0.14229
255,0.14229
256,0.14229
257,0.14229
258,0.14229
259,0.14229
260,0.136048
261,0.136048
262,0.136048
263,0.136048
264,0.136048
265,0.136048
266,0.136048
267,0.138511
268,0.138511
269,0.138511
270,0.138511
271,0.138511
272,0.138511
273,0.138511
274,0.128088
275,0.128088
276,0.128088
277,0.128088
278,0.128088
279,0.128088
280,0.128088
281,0.134212
282,0.134212
283,0.134212
284,0.134212
285,0.134212
286,0.134212
287,0.134212
288,0.136071
289,0.136071
290,0.136071
291,0.136071
292,0.136071
293,0.136071
294,0.136071
295,0.125854
296,0.125854
